"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HEXT","EQ","27-Nov-2025","756.05","760.00","762.90","742.85","745.00","746.00","752.63","3,70,136","27,85,75,162.80","25,075","1,74,429","47.13"
"HEXT","EQ","26-Nov-2025","726.45","726.25","758.55","725.40","755.00","756.05","748.18","4,62,856","34,62,99,879.55","23,278","2,42,370","52.36"
"HEXT","EQ","25-Nov-2025","729.15","734.85","734.85","719.05","726.15","726.45","726.71","3,04,719","22,14,41,885.20","34,675","1,66,649","54.69"
"HEXT","EQ","24-Nov-2025","715.70","715.70","735.40","714.00","726.80","729.15","728.47","17,51,451","1,27,58,76,644.20","63,348","11,40,751","65.13"
"HEXT","EQ","21-Nov-2025","724.95","724.95","724.95","707.70","714.00","715.70","715.78","3,22,635","23,09,36,641.95","26,583","1,88,389","58.39"
"HEXT","EQ","20-Nov-2025","731.50","735.00","737.75","717.50","724.95","724.95","725.80","2,06,151","14,96,25,292.45","16,487","94,149","45.67"
"HEXT","EQ","19-Nov-2025","702.70","706.95","735.00","702.45","728.10","731.50","725.29","4,26,604","30,94,09,569.05","23,331","1,96,150","45.98"
"HEXT","EQ","18-Nov-2025","708.45","711.00","711.00","698.45","706.00","702.70","702.96","2,97,783","20,93,30,089.45","19,038","2,06,159","69.23"
"HEXT","EQ","17-Nov-2025","688.70","688.70","709.75","685.85","709.60","708.45","704.88","3,00,832","21,20,51,120.85","17,095","1,73,667","57.73"
"HEXT","EQ","14-Nov-2025","696.25","696.25","696.25","683.15","686.00","688.70","687.46","2,25,656","15,51,29,284.40","19,273","1,14,207","50.61"
"HEXT","EQ","13-Nov-2025","696.35","696.35","699.80","683.55","696.35","696.25","693.96","3,27,973","22,76,00,471.40","19,334","1,82,650","55.69"
"HEXT","EQ","12-Nov-2025","663.40","667.05","697.80","661.75","697.00","696.35","683.56","4,42,937","30,27,73,350.25","22,436","2,15,864","48.73"
"HEXT","EQ","11-Nov-2025","673.35","670.10","672.30","659.40","666.00","663.40","665.59","7,41,102","49,32,70,479.40","29,313","5,38,442","72.65"
"HEXT","EQ","10-Nov-2025","672.45","674.10","699.85","651.00","669.80","673.35","677.95","7,20,638","48,85,53,027.60","59,177","2,71,343","37.65"
"HEXT","EQ","07-Nov-2025","699.50","702.30","702.30","665.20","670.00","672.45","674.05","6,00,927","40,50,53,787.05","50,388","3,67,544","61.16"
"HEXT","EQ","06-Nov-2025","695.00","695.00","704.00","687.80","695.00","699.50","698.72","2,27,581","15,90,14,359.25","19,313","1,31,071","57.59"
"HEXT","EQ","04-Nov-2025","692.50","693.00","699.80","685.35","694.05","695.00","692.78","3,45,147","23,91,10,539.60","20,648","2,18,443","63.29"
"HEXT","EQ","03-Nov-2025","687.40","687.40","695.00","674.60","691.00","692.50","689.32","2,75,793","19,01,09,821.90","22,687","1,27,603","46.27"
"HEXT","EQ","31-Oct-2025","704.25","704.25","704.30","683.20","687.45","687.40","693.63","2,48,070","17,20,67,666.20","23,728","1,69,490","68.32"
"HEXT","EQ","30-Oct-2025","709.80","707.10","714.00","697.15","703.45","704.25","704.79","2,61,517","18,43,14,195.95","19,947","1,53,051","58.52"
"HEXT","EQ","29-Oct-2025","715.25","717.10","717.50","707.15","709.95","709.80","711.05","2,64,020","18,77,30,155.15","19,872","1,63,882","62.07"
"HEXT","EQ","28-Oct-2025","736.90","745.00","746.45","712.35","716.00","715.25","724.56","1,77,435","12,85,61,535.95","12,752","86,823","48.93"
"HEXT","EQ","27-Oct-2025","725.20","725.10","740.00","721.30","735.10","736.90","733.50","1,76,363","12,93,62,528.70","8,125","95,853","54.35"
"HEXT","EQ","24-Oct-2025","730.00","730.00","731.20","720.60","724.00","725.20","725.32","1,06,295","7,70,98,383.85","9,003","53,615","50.44"
"HEXT","EQ","23-Oct-2025","718.00","718.00","734.00","702.00","729.85","730.00","725.81","5,14,230","37,32,34,311.85","25,886","2,88,422","56.09"
"HEXT","EQ","21-Oct-2025","721.05","721.50","721.75","715.75","718.90","718.00","718.28","23,292","1,67,30,077.05","2,060","11,220","48.17"
"HEXT","EQ","20-Oct-2025","715.25","712.05","722.80","709.20","720.30","721.05","717.57","1,25,319","8,99,25,416.80","7,966","63,705","50.83"
"HEXT","EQ","17-Oct-2025","720.95","715.00","719.75","708.00","712.00","715.25","714.50","4,05,691","28,98,65,602.90","17,767","3,04,890","75.15"
"HEXT","EQ","16-Oct-2025","741.70","743.45","746.15","719.25","719.50","720.95","726.37","3,18,795","23,15,61,968.55","27,475","1,72,769","54.19"
"HEXT","EQ","15-Oct-2025","720.90","716.80","744.00","716.80","738.70","741.70","736.68","10,70,826","78,88,53,797.95","46,364","8,17,820","76.37"
"HEXT","EQ","14-Oct-2025","707.65","709.45","724.40","707.55","718.80","720.90","718.57","4,61,656","33,17,30,182.00","31,545","2,81,861","61.05"
"HEXT","EQ","13-Oct-2025","716.60","711.90","714.75","698.70","714.75","707.65","708.33","6,20,094","43,92,33,755.45","24,523","4,93,089","79.52"
"HEXT","EQ","10-Oct-2025","718.60","720.05","728.85","714.35","716.15","716.60","720.75","8,92,280","64,31,06,970.20","39,796","5,90,020","66.12"
"HEXT","EQ","09-Oct-2025","706.40","710.00","722.00","700.95","718.00","718.60","712.57","4,35,817","31,05,51,650.70","27,304","2,19,715","50.41"
"HEXT","EQ","08-Oct-2025","693.15","693.15","709.05","687.90","707.00","706.40","701.62","6,63,203","46,53,13,231.20","43,046","3,81,874","57.58"
"HEXT","EQ","07-Oct-2025","697.15","700.80","705.00","685.15","693.65","693.15","691.61","2,84,422","19,67,08,334.85","19,907","1,35,135","47.51"
"HEXT","EQ","06-Oct-2025","668.85","670.00","701.95","669.00","696.00","697.15","689.80","6,05,570","41,77,21,497.30","24,285","2,15,450","35.58"
"HEXT","EQ","03-Oct-2025","676.90","669.00","681.40","664.90","668.05","668.85","670.03","4,62,867","31,01,36,347.60","21,115","1,67,808","36.25"
"HEXT","EQ","01-Oct-2025","670.50","675.60","679.15","664.50","675.85","676.90","672.58","2,60,424","17,51,55,533.65","10,090","1,17,792","45.23"
"HEXT","EQ","30-Sep-2025","676.05","673.55","673.55","663.20","670.00","670.50","668.23","9,58,698","64,06,30,436.75","34,890","6,22,068","64.89"
"HEXT","EQ","29-Sep-2025","664.10","664.00","680.95","654.40","673.00","676.05","673.49","16,71,664","1,12,58,52,422.35","49,404","10,74,019","64.25"
"HEXT","EQ","26-Sep-2025","681.60","680.00","690.00","651.05","662.70","664.10","666.10","14,74,682","98,22,91,224.45","62,868","9,07,843","61.56"
"HEXT","EQ","25-Sep-2025","703.80","700.40","701.80","668.00","691.95","681.60","691.41","16,35,411","1,13,07,45,172.65","40,140","12,13,606","74.21"
"HEXT","EQ","24-Sep-2025","689.35","692.00","709.05","680.20","700.00","703.80","701.68","32,29,757","2,26,62,50,293.85","90,545","22,92,269","70.97"
